Year,Monitored avg Conc in RR (mg/L),Ave RR Flow (L/S),Avg DWW  Flow from RR (m3/d),Avg DWW flow from DMR (m3/d),Avg DWW flow from Gallery  (m3/d),Treatment Days Baseline
2000,3.864333333,17556.416,19339.66889,96829.57204,32160.85865,0
2001,15.209,128546.9453,0,51205.26542,75407.92666,30
2002,15.40033333,75597.36096,0,93209.45656,60572.89782,30
2003,14.50033333,71155.39893,7444.643207,58735.71129,62277.59493,30
2004,14.28133333,187999.0108,0,10807.35069,107785.8156,1
2005,14.19966667,103366.7028,0,49638.10493,91778.57089,15
2006,10.90666667,22128.44653,60106.03036,106387.7368,52263.91892,21
2007,13.77270886,87089.26229,75.708236,62336.89972,107559.9527,15
2008,8.144,491046.3483,4465.52412,5107.782322,121885.2127,0
2009,9.216333333,152182.0343,24287.20211,15392.74618,78959.90474,0
2010,7.508666667,380455.0859,26306.56158,43583.49648,64580.15052,0
2011,8.965666667,197302.0235,13353.67103,5338.692442,88372.96208,0
2012,5.743,27133.15776,59918.02158,44279.22363,66263.63356,0
2013,16.26033333,300469.3758,146.3692563,672.5414965,73023.11723,30
2014,7.268333333,116687.8694,64591.74335,47206.60875,528.6958481,0
2015,14.55933333,364220.1205,71994.74702,874.4301258,2032.766137,30
2016,12.54266667,95701.34507,95181.6561,49313.82132,12408.57988,30
