Year,Monitored avg Conc in RR (mg/L),Ave RR Flow (L/S),Avg DWW  Flow from RR (m3/d),Avg DWW flow from DMR (m3/d),Avg DWW flow from Gallery  (m3/d),Treatment Days Baseline
2000,1.59483871,10099.68911,8341.338066,124785.4894,40423.31362,0
2001,12.76935484,179575.0977,4121.21446,27092.55858,75484.77459,10
2002,15.33677419,88050.63288,0,62301.77273,46468.9826,22
2003,13.60354839,215331.9085,0,30768.07133,68171.60322,14
2004,11.82,199640.7476,3331.162384,39038.58556,57921.68494,5
2005,13.33870968,128740.961,0,21405.89318,81167.7767,17
2006,15.0716129,74279.53363,0,61515.38395,66487.70552,29
2007,12.5951697,272483.4319,608.1080892,14949.93441,102721.423,0
2008,9.881254948,142444.4653,100.1302476,33119.91105,81117.71157,0
2009,7.802258065,96110.87298,49463.12122,653.2888106,71491.7757,0
2010,8.163225806,135637.472,35894.25157,3204.167924,84550.2253,0
2011,8.396451613,123653.0715,26170.62764,6436.421161,80300.79528,0
2012,6.727096774,46168.25879,60764.40709,20443.66592,62513.02313,0
2013,17.81580645,194968.8838,881.6346192,1255.291397,62863.47899,23
2014,3.70486129,34922.83541,54693.09501,77826.84551,1895.148101,0
2015,15.14193548,183337.5783,74631.22529,6162.894631,1990.393946,31
2016,13.06096774,267465.8777,77543.55017,1911.022409,711.9016385,31
